REP,2,143,2246
[119561][D][BLECharacteristic.cpp:790] onNotify(): >> onNotify: default
[119570][D][BLECharacteristic.cpp:791] onNotify(): << onNotify
[119576][D][BLECharacteristic.cpp:796] onStatus(): >> onStatus: default
[119578][D][BLEDevice.cpp:102] gattServerEventHandler(): gattServerEventHandler [esp_gatt_if: 4] ... ESP_GATTS_CONF_EVT
[119593][D][BLECharacteristic.cpp:797] onStatus(): << onStatus
RAW,119599,183,1,0,1
[119602][D][Tone.cpp:124] tone(): _pin=25, frequency=4000 Hz, duration=0 ms
[119611][D][Tone.cpp:31] tone_task(): Task received from queue TONE_START: _pin=25, frequency=4000 Hz, duration=0 ms
[119621][D][Tone.cpp:33] tone_task(): Setup LED controll on channel 0
RAW,119611,178,1,9,4
RAW,119632,179,1,9,0
RAW,119651,179,2,9,1
RAW,119670,178,2,0,2
RAW,119688,174,4,33,1
RAW,119707,171,6,52,-2
RAW,119725,174,8,75,2
RAW,119743,176,7,54,-1
[119750][D][Tone.cpp:105] noTone(): noTone was called
[119755][D][Tone.cpp:45] tone_task(): Task received from queue TONE_END: pin=25
RAW,119754,172,7,59,-1
RAW,119780,175,6,21,-2
RAW,119799,170,8,21,-1
RAW,119817,172,8,0,-2
RAW,119835,173,9,21,0
RAW,119854,171,9,20,-2
RAW,119872,174,8,21,2
RAW,119891,174,8,0,3
RAW,119909,175,6,-21,2
RAW,119927,173,7,-21,2
RAW,119946,171,8,-10,1
RAW,119964,172,9,10,1
RAW,119983,170,10,21,3
RAW,120001,172,9,32,3
RAW,120019,166,11,43,1
RAW,120038,165,13,54,2
RAW,120056,164,16,76,2
RAW,120074,166,16,65,-2
RAW,120093,159,18,97,2
RAW,120111,157,20,97,1
RAW,120129,156,23,109,-2
RAW,120148,151,26,108,2
RAW,120167,144,30,150,-1
RAW,120185,143,35,184,-2
RAW,120204,137,39,204,-1
RAW,120222,133,43,215,1
RAW,120240,122,50,260,2
RAW,120259,119,56,282,1
RAW,120277,113,63,304,2
RAW,120295,109,67,307,1
RAW,120314,103,72,315,2
RAW,120332,100,77,293,1
RAW,120350,97,81,274,2
RAW,120369,94,84,228,4
RAW,120387,90,87,217,3
RAW,120406,82,92,217,-2
RAW,120424,82,96,206,1
RAW,120443,79,100,204,1
RAW,120461,73,103,206,8
RAW,120480,73,106,204,6
RAW,120498,62,111,206,-11
RAW,120516,66,114,195,-54
RAW,120535,64,117,184,-18
RAW,120553,60,117,152,-10
RAW,120571,60,119,142,6
RAW,120590,60,121,108,6
RAW,120608,65,119,54,-1
RAW,120626,60,119,21,2
RAW,120645,67,117,0,2
RAW,120664,71,115,-43,2
RAW,120681,74,110,-120,3
RAW,120700,80,106,-141,4
RAW,120719,85,101,-193,3
RAW,120737,89,96,-228,4
RAW,120756,94,91,-260,-4
RAW,120774,102,86,-258,10
RAW,120792,111,78,-304,6
RAW,120811,111,73,-304,16
RAW,120829,122,66,-326,12
RAW,120847,126,61,-329,4
RAW,120866,135,53,-358,1
RAW,120884,136,48,-326,-3
RAW,120903,143,43,-326,2
RAW,120921,150,38,-304,-1
RAW,120940,156,31,-322,-1
RAW,120958,160,25,-304,2
RAW,120976,164,21,-293,0
RAW,120995,169,16,-293,1
RAW,121013,175,11,-293,4
RAW,121032,181,6,-271,1
RAW,121050,179,2,-250,2
RAW,121068,183,0,-228,3
RAW,121087,187,-2,-195,1
RAW,121105,190,-5,-173,3
RAW,121123,190,-8,-153,3
RAW,121142,193,-10,-130,1
RAW,121161,199,-13,-139,1
RAW,121178,197,-15,-142,1
RAW,121197,200,-17,-130,1
RAW,121216,205,-19,-118,1
RAW,121234,207,-23,-141,1
RAW,121253,209,-26,-141,-1
RAW,121271,208,-27,-129,-2
RAW,121289,209,-27,-108,2
RAW,121308,208,-27,-86,-2
RAW,121326,209,-27,-43,-2
RAW,121344,209,-27,-10,4
RAW,121363,209,-28,-10,0
RAW,121382,210,-28,-10,2
RAW,121399,207,-27,0,4
RAW,121418,207,-27,0,1
RAW,121437,208,-26,10,3
RAW,121454,206,-26,21,4
RAW,121474,206,-25,32,-1
RAW,121492,204,-24,32,1
RAW,121510,201,-22,54,3
RAW,121529,203,-21,54,-1
RAW,121547,202,-21,53,3
RAW,121566,199,-20,54,1
